"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","758","checkIfButtonsAreVisible","Cross Browser test","Sun Jun 22 22:16:36 GMT 2025","passed","Sun Jun 22 22:16:36 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkIfButtonsAreVisible"
"","640","checkSortingByNameASC","Cross Browser test","Sun Jun 22 22:16:48 GMT 2025","passed","Sun Jun 22 22:16:49 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByNameASC"
"","1029","checkCompleteCheckout","Cross Browser test","Sun Jun 22 22:16:45 GMT 2025","passed","Sun Jun 22 22:16:46 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCompleteCheckout"
"Проверка отображения корректной информации о доставке","1094","checkSuccessDeliveryInfo","Cross Browser test","Sun Jun 22 22:16:38 GMT 2025","passed","Sun Jun 22 22:16:39 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSuccessDeliveryInfo"
"","968","checkErrorIfFirstNameEmpty","Cross Browser test","Sun Jun 22 22:16:40 GMT 2025","passed","Sun Jun 22 22:16:41 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkErrorIfFirstNameEmpty"
"","398","checkLoginInvalidCredentials","Cross Browser test","Sun Jun 22 22:16:30 GMT 2025","passed","Sun Jun 22 22:16:30 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginInvalidCredentials"
"","892","sortingTest2","Cross Browser test","Sun Jun 22 22:16:31 GMT 2025","passed","Sun Jun 22 22:16:32 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest2"
"Проверка добавления товара в корзину","712","checkCart","Cross Browser test","Sun Jun 22 22:16:28 GMT 2025","passed","Sun Jun 22 22:16:29 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkCart"
"","989","checkErrorIfPostalEmpty","Cross Browser test","Sun Jun 22 22:16:43 GMT 2025","passed","Sun Jun 22 22:16:44 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkErrorIfPostalEmpty"
"","1140","sortingTest","Cross Browser test","Sun Jun 22 22:16:25 GMT 2025","passed","Sun Jun 22 22:16:26 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest"
"","657","checkSortingByNameDESC","Cross Browser test","Sun Jun 22 22:16:50 GMT 2025","passed","Sun Jun 22 22:16:51 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByNameDESC"
"","760","login","Cross Browser test","Sun Jun 22 22:16:25 GMT 2025","passed","Sun Jun 22 22:16:26 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","login"
"","546","checkLoginWithEmptyLogin","Cross Browser test","Sun Jun 22 22:16:31 GMT 2025","passed","Sun Jun 22 22:16:31 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"","624","checkSuccessLogin","Cross Browser test","Sun Jun 22 22:16:27 GMT 2025","passed","Sun Jun 22 22:16:28 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessLogin"
"","377","checkLoginWithEmptyPassword","Cross Browser test","Sun Jun 22 22:16:32 GMT 2025","passed","Sun Jun 22 22:16:32 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","1008","sortingTest","Cross Browser test","Sun Jun 22 22:16:28 GMT 2025","passed","Sun Jun 22 22:16:29 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest"
"","750","sortingTest2","Cross Browser test","Sun Jun 22 22:16:33 GMT 2025","passed","Sun Jun 22 22:16:34 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest2"
"","651","checkSortingByPriceASC","Cross Browser test","Sun Jun 22 22:16:52 GMT 2025","passed","Sun Jun 22 22:16:53 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByPriceASC"
"","1103","checkLocator","Cross Browser test","Sun Jun 22 22:16:32 GMT 2025","passed","Sun Jun 22 22:16:34 GMT 2025","tests.LocatorTest","Chrome","tests.LocatorTest","checkLocator"
"","633","checkSortingByPriceDESC","Cross Browser test","Sun Jun 22 22:16:54 GMT 2025","passed","Sun Jun 22 22:16:55 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByPriceDESC"
"","420","login","Cross Browser test","Sun Jun 22 22:16:26 GMT 2025","passed","Sun Jun 22 22:16:27 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","login"
