"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","628","checkSortingByPriceDESC","Cross Browser test","Sat Jun 28 22:04:54 GMT 2025","passed","Sat Jun 28 22:04:55 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByPriceDESC"
"Проверка отображения корректной информации о доставке","1067","checkSuccessDeliveryInfo","Cross Browser test","Sat Jun 28 22:04:38 GMT 2025","passed","Sat Jun 28 22:04:39 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSuccessDeliveryInfo"
"","849","login","Cross Browser test","Sat Jun 28 22:04:25 GMT 2025","passed","Sat Jun 28 22:04:26 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","login"
"","650","checkSortingByNameDESC","Cross Browser test","Sat Jun 28 22:04:50 GMT 2025","passed","Sat Jun 28 22:04:50 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByNameDESC"
"","869","sortingTest2","Cross Browser test","Sat Jun 28 22:04:33 GMT 2025","passed","Sat Jun 28 22:04:34 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest2"
"","1259","sortingTest","Cross Browser test","Sat Jun 28 22:04:25 GMT 2025","passed","Sat Jun 28 22:04:26 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest"
"","952","checkErrorIfPostalEmpty","Cross Browser test","Sat Jun 28 22:04:43 GMT 2025","passed","Sat Jun 28 22:04:44 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkErrorIfPostalEmpty"
"","964","checkErrorIfFirstNameEmpty","Cross Browser test","Sat Jun 28 22:04:40 GMT 2025","passed","Sat Jun 28 22:04:41 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkErrorIfFirstNameEmpty"
"","422","login","Cross Browser test","Sat Jun 28 22:04:26 GMT 2025","passed","Sat Jun 28 22:04:27 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","login"
"","1033","checkCompleteCheckout","Cross Browser test","Sat Jun 28 22:04:45 GMT 2025","passed","Sat Jun 28 22:04:46 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCompleteCheckout"
"","630","checkSortingByPriceASC","Cross Browser test","Sat Jun 28 22:04:52 GMT 2025","passed","Sat Jun 28 22:04:53 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByPriceASC"
"","517","checkLoginWithEmptyLogin","Cross Browser test","Sat Jun 28 22:04:31 GMT 2025","passed","Sat Jun 28 22:04:31 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"","910","sortingTest2","Cross Browser test","Sat Jun 28 22:04:30 GMT 2025","passed","Sat Jun 28 22:04:31 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest2"
"","598","checkSortingByNameASC","Cross Browser test","Sat Jun 28 22:04:48 GMT 2025","passed","Sat Jun 28 22:04:48 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByNameASC"
"","571","checkLoginWithEmptyPassword","Cross Browser test","Sat Jun 28 22:04:32 GMT 2025","passed","Sat Jun 28 22:04:32 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","1180","checkLocator","Cross Browser test","Sat Jun 28 22:04:33 GMT 2025","passed","Sat Jun 28 22:04:34 GMT 2025","tests.LocatorTest","Chrome","tests.LocatorTest","checkLocator"
"","961","sortingTest","Cross Browser test","Sat Jun 28 22:04:28 GMT 2025","passed","Sat Jun 28 22:04:29 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest"
"","741","checkIfButtonsAreVisible","Cross Browser test","Sat Jun 28 22:04:35 GMT 2025","passed","Sat Jun 28 22:04:36 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkIfButtonsAreVisible"
"Проверка добавления товара в корзину","727","checkCart","Cross Browser test","Sat Jun 28 22:04:28 GMT 2025","passed","Sat Jun 28 22:04:29 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkCart"
"","466","checkLoginInvalidCredentials","Cross Browser test","Sat Jun 28 22:04:30 GMT 2025","passed","Sat Jun 28 22:04:30 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginInvalidCredentials"
"","713","checkSuccessLogin","Cross Browser test","Sat Jun 28 22:04:27 GMT 2025","passed","Sat Jun 28 22:04:28 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessLogin"
