"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","652","checkSortingByNameASC","Cross Browser test","Sat Jun 28 22:09:59 GMT 2025","passed","Sat Jun 28 22:10:00 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByNameASC"
"","712","checkSortingByPriceDESC","Cross Browser test","Sat Jun 28 22:10:06 GMT 2025","passed","Sat Jun 28 22:10:07 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByPriceDESC"
"","913","sortingTest2","Cross Browser test","Sat Jun 28 22:09:44 GMT 2025","passed","Sat Jun 28 22:09:45 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest2"
"","702","checkSuccessLogin","Cross Browser test","Sat Jun 28 22:09:38 GMT 2025","passed","Sat Jun 28 22:09:39 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessLogin"
"","584","checkLoginWithEmptyLogin","Cross Browser test","Sat Jun 28 22:09:42 GMT 2025","passed","Sat Jun 28 22:09:42 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"","441","login","Cross Browser test","Sat Jun 28 22:09:37 GMT 2025","passed","Sat Jun 28 22:09:38 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","login"
"","914","login","Cross Browser test","Sat Jun 28 22:09:35 GMT 2025","passed","Sat Jun 28 22:09:36 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","login"
"","1301","sortingTest","Cross Browser test","Sat Jun 28 22:09:35 GMT 2025","passed","Sat Jun 28 22:09:37 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest"
"","467","checkLoginInvalidCredentials","Cross Browser test","Sat Jun 28 22:09:40 GMT 2025","passed","Sat Jun 28 22:09:41 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginInvalidCredentials"
"","1094","checkCompleteCheckout","Cross Browser test","Sat Jun 28 22:09:57 GMT 2025","passed","Sat Jun 28 22:09:58 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCompleteCheckout"
"","1003","checkErrorIfPostalEmpty","Cross Browser test","Sat Jun 28 22:09:54 GMT 2025","passed","Sat Jun 28 22:09:55 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkErrorIfPostalEmpty"
"","1355","checkLocator","Cross Browser test","Sat Jun 28 22:09:44 GMT 2025","passed","Sat Jun 28 22:09:45 GMT 2025","tests.LocatorTest","Chrome","tests.LocatorTest","checkLocator"
"Проверка добавления товара в корзину","706","checkCart","Cross Browser test","Sat Jun 28 22:09:39 GMT 2025","passed","Sat Jun 28 22:09:40 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkCart"
"","670","checkSortingByPriceASC","Cross Browser test","Sat Jun 28 22:10:04 GMT 2025","passed","Sat Jun 28 22:10:04 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByPriceASC"
"Проверка отображения корректной информации о доставке","1142","checkSuccessDeliveryInfo","Cross Browser test","Sat Jun 28 22:09:49 GMT 2025","passed","Sat Jun 28 22:09:50 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSuccessDeliveryInfo"
"","976","sortingTest2","Cross Browser test","Sat Jun 28 22:09:41 GMT 2025","passed","Sat Jun 28 22:09:42 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest2"
"","973","sortingTest","Cross Browser test","Sat Jun 28 22:09:39 GMT 2025","passed","Sat Jun 28 22:09:40 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest"
"","672","checkSortingByNameDESC","Cross Browser test","Sat Jun 28 22:10:01 GMT 2025","passed","Sat Jun 28 22:10:02 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByNameDESC"
"","1027","checkErrorIfFirstNameEmpty","Cross Browser test","Sat Jun 28 22:09:52 GMT 2025","passed","Sat Jun 28 22:09:53 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkErrorIfFirstNameEmpty"
"","795","checkIfButtonsAreVisible","Cross Browser test","Sat Jun 28 22:09:46 GMT 2025","passed","Sat Jun 28 22:09:47 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkIfButtonsAreVisible"
"","428","checkLoginWithEmptyPassword","Cross Browser test","Sat Jun 28 22:09:43 GMT 2025","passed","Sat Jun 28 22:09:43 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
