"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отображения корректной информации о доставке","0","checkSuccessDeliveryInfo","Cross Browser test","Sat Jun 28 22:18:11 GMT 2025","skipped","Sat Jun 28 22:18:11 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSuccessDeliveryInfo"
"Проверка добавления товара в корзину","678","checkCart","Cross Browser test","Sat Jun 28 22:14:16 GMT 2025","passed","Sat Jun 28 22:14:16 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkCart"
"","1","checkSortingByPriceDESC","Cross Browser test","Sat Jun 28 22:18:22 GMT 2025","skipped","Sat Jun 28 22:18:22 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByPriceDESC"
"","825","checkLocator","Cross Browser test","Sat Jun 28 22:14:19 GMT 2025","passed","Sat Jun 28 22:14:20 GMT 2025","tests.LocatorTest","Chrome","tests.LocatorTest","checkLocator"
"","5150","login","Cross Browser test","Sat Jun 28 22:14:07 GMT 2025","passed","Sat Jun 28 22:14:13 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","login"
"","0","checkCompleteCheckout","Cross Browser test","Sat Jun 28 22:18:16 GMT 2025","skipped","Sat Jun 28 22:18:16 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCompleteCheckout"
"","0","Открытие браузера","Cross Browser test","Sat Jun 28 22:17:23 GMT 2025","broken","Sat Jun 28 22:17:23 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","setup"
"","424","checkLoginInvalidCredentials","Cross Browser test","Sat Jun 28 22:14:17 GMT 2025","passed","Sat Jun 28 22:14:17 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginInvalidCredentials"
"","0","checkSortingByNameDESC","Cross Browser test","Sat Jun 28 22:18:19 GMT 2025","skipped","Sat Jun 28 22:18:19 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByNameDESC"
"","407","checkLoginWithEmptyPassword","Cross Browser test","Sat Jun 28 22:14:18 GMT 2025","passed","Sat Jun 28 22:14:19 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","0","checkSortingByPriceASC","Cross Browser test","Sat Jun 28 22:18:20 GMT 2025","skipped","Sat Jun 28 22:18:20 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByPriceASC"
"","1","checkErrorIfFirstNameEmpty","Cross Browser test","Sat Jun 28 22:18:13 GMT 2025","skipped","Sat Jun 28 22:18:13 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkErrorIfFirstNameEmpty"
"","1","checkIfButtonsAreVisible","Cross Browser test","Sat Jun 28 22:18:10 GMT 2025","skipped","Sat Jun 28 22:18:10 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkIfButtonsAreVisible"
"","435","login","Cross Browser test","Sat Jun 28 22:14:13 GMT 2025","passed","Sat Jun 28 22:14:14 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","login"
"","396","checkLoginWithEmptyLogin","Cross Browser test","Sat Jun 28 22:14:18 GMT 2025","passed","Sat Jun 28 22:14:18 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"","1","sortingTest","Cross Browser test","Sat Jun 28 22:17:23 GMT 2025","skipped","Sat Jun 28 22:17:23 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest"
"","1","sortingTest2","Cross Browser test","Sat Jun 28 22:18:07 GMT 2025","skipped","Sat Jun 28 22:18:07 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest2"
"","0","checkErrorIfPostalEmpty","Cross Browser test","Sat Jun 28 22:18:14 GMT 2025","skipped","Sat Jun 28 22:18:14 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkErrorIfPostalEmpty"
"","0","checkSortingByNameASC","Cross Browser test","Sat Jun 28 22:18:17 GMT 2025","skipped","Sat Jun 28 22:18:17 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByNameASC"
"","0","sortingTest","Cross Browser test","Sat Jun 28 22:18:05 GMT 2025","skipped","Sat Jun 28 22:18:05 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest"
"","949","checkSuccessLogin","Cross Browser test","Sat Jun 28 22:14:14 GMT 2025","passed","Sat Jun 28 22:14:15 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessLogin"
"","0","sortingTest2","Cross Browser test","Sat Jun 28 22:18:08 GMT 2025","skipped","Sat Jun 28 22:18:08 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest2"
