"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","969","sortingTest2","Cross Browser test","Sun Jun 22 22:54:31 GMT 2025","passed","Sun Jun 22 22:54:32 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest2"
"","721","login","Cross Browser test","Sun Jun 22 22:54:24 GMT 2025","passed","Sun Jun 22 22:54:25 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","login"
"","1107","checkErrorIfFirstNameEmpty","Cross Browser test","Sun Jun 22 22:54:38 GMT 2025","passed","Sun Jun 22 22:54:40 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkErrorIfFirstNameEmpty"
"Проверка добавления товара в корзину","776","checkCart","Cross Browser test","Sun Jun 22 22:54:27 GMT 2025","passed","Sun Jun 22 22:54:27 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkCart"
"Проверка отображения корректной информации о доставке","1224","checkSuccessDeliveryInfo","Cross Browser test","Sun Jun 22 22:54:36 GMT 2025","passed","Sun Jun 22 22:54:37 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSuccessDeliveryInfo"
"","754","checkSortingByNameDESC","Cross Browser test","Sun Jun 22 22:54:49 GMT 2025","passed","Sun Jun 22 22:54:49 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByNameDESC"
"","550","checkLoginWithEmptyLogin","Cross Browser test","Sun Jun 22 22:54:29 GMT 2025","passed","Sun Jun 22 22:54:30 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"","995","sortingTest","Cross Browser test","Sun Jun 22 22:54:25 GMT 2025","passed","Sun Jun 22 22:54:26 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest"
"","743","checkSortingByPriceDESC","Cross Browser test","Sun Jun 22 22:54:53 GMT 2025","passed","Sun Jun 22 22:54:54 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByPriceDESC"
"","780","checkSuccessLogin","Cross Browser test","Sun Jun 22 22:54:25 GMT 2025","passed","Sun Jun 22 22:54:26 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessLogin"
"","935","login","Cross Browser test","Sun Jun 22 22:54:22 GMT 2025","passed","Sun Jun 22 22:54:23 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","login"
"","691","checkLoginInvalidCredentials","Cross Browser test","Sun Jun 22 22:54:28 GMT 2025","passed","Sun Jun 22 22:54:29 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginInvalidCredentials"
"","752","checkSortingByNameASC","Cross Browser test","Sun Jun 22 22:54:46 GMT 2025","passed","Sun Jun 22 22:54:47 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByNameASC"
"","1233","sortingTest","Cross Browser test","Sun Jun 22 22:54:22 GMT 2025","passed","Sun Jun 22 22:54:24 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest"
"","766","checkLoginWithEmptyPassword","Cross Browser test","Sun Jun 22 22:54:30 GMT 2025","passed","Sun Jun 22 22:54:31 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","1099","checkErrorIfPostalEmpty","Cross Browser test","Sun Jun 22 22:54:41 GMT 2025","passed","Sun Jun 22 22:54:42 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkErrorIfPostalEmpty"
"","1023","checkLocator","Cross Browser test","Sun Jun 22 22:54:31 GMT 2025","passed","Sun Jun 22 22:54:32 GMT 2025","tests.LocatorTest","Chrome","tests.LocatorTest","checkLocator"
"","1174","checkCompleteCheckout","Cross Browser test","Sun Jun 22 22:54:44 GMT 2025","passed","Sun Jun 22 22:54:45 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCompleteCheckout"
"","877","checkIfButtonsAreVisible","Cross Browser test","Sun Jun 22 22:54:33 GMT 2025","passed","Sun Jun 22 22:54:34 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkIfButtonsAreVisible"
"","772","checkSortingByPriceASC","Cross Browser test","Sun Jun 22 22:54:51 GMT 2025","passed","Sun Jun 22 22:54:52 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByPriceASC"
"","1021","sortingTest2","Cross Browser test","Sun Jun 22 22:54:28 GMT 2025","passed","Sun Jun 22 22:54:29 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest2"
